CTYUA25CD,CTYUA25NM,CTYUA25NMW,ObjectId
S12000049,Glasgow City,,195
S12000050,North Lanarkshire,,196
W06000001,Isle of Anglesey,Ynys Môn,197
W06000002,Gwynedd,Gwynedd,198
W06000003,Conwy,Conwy,199
W06000004,Denbighshire,Sir Ddinbych,200
W06000005,Flintshire,Sir y Fflint,201
W06000006,Wrexham,Wrecsam,202
W06000008,Ceredigion,Ceredigion,203
W06000009,Pembrokeshire,Sir Benfro,204
W06000010,Carmarthenshire,Sir Gaerfyrddin,205
W06000011,Swansea,Abertawe,206
W06000012,Neath Port Talbot,Castell-nedd Port Talbot,207
W06000013,Bridgend,Pen-y-bont ar Ogwr,208
W06000014,Vale of Glamorgan,Bro Morgannwg,209
W06000015,Cardiff,Caerdydd,210
W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,211
W06000018,Caerphilly,Caerffili,212
W06000019,Blaenau Gwent,Blaenau Gwent,213
W06000020,Torfaen,Torfaen,214
W06000021,Monmouthshire,Sir Fynwy,215
W06000022,Newport,Casnewydd,216
W06000023,Powys,Powys,217
W06000024,Merthyr Tydfil,Merthyr Tudful,218
