WD25CD,WD25NM,WD25NMW,ObjectId
E05000986,Monk Bretton,,155
E05000987,North East,,156
E05000988,Old Town,,157
E05000990,Penistone West,,158
E05000991,Rockingham,,159
E05000992,Royston,,160
E05000993,St Helens,,161
E05000994,Stairfoot,,162
E05000995,Wombwell,,163
E05000996,Worsbrough,,164
E05001067,Birtley,,165
E05001068,Blaydon,,166
E05001069,Bridges,,167
E05001071,Chowdene,,168
E05001072,Crawcrook and Greenside,,169
E05001073,Deckham,,170
E05001074,Dunston and Teams,,171
E05001075,Dunston Hill and Whickham East,,172
E05001076,Felling,,173
E05001077,High Fell,,174
E05001078,Lamesley,,175
E05001079,Lobley Hill and Bensham,,176
E05001080,Low Fell,,177
E05001081,Pelaw and Heworth,,178
E05001082,"Ryton, Crookhill and Stella",,179
E05001083,Saltwell,,180
E05001084,Wardley and Leam Lane,,181
E05001085,Whickham North,,182
E05001086,Whickham South and Sunniside,,183
E05001087,Windy Nook and Whitehills,,184
E05001088,Winlaton and High Spen,,185
E05001135,Beacon and Bents,,186
E05001136,Bede,,187
E05001137,Biddick and All Saints,,188
E05001138,Boldon Colliery,,189
E05001139,Cleadon and East Boldon,,190
E05001140,Cleadon Park,,191
E05001141,Fellgate and Hedworth,,192
E05001142,Harton,,193
E05001143,Hebburn North,,194
E05001144,Hebburn South,,195
E05001145,Horsley Hill,,196
E05001146,Monkton,,197
E05001147,Primrose,,198
E05001148,Simonside and Rekendyke,,199
E05001149,Westoe,,200
E05001384,Sowerby Bridge,,201
E05001385,Todmorden,,202
E05001386,Town,,203
E05001387,Warley,,204
E05001389,Ashbrow,,205
E05001390,Batley East,,206
E05001391,Batley West,,207
E05001392,Birstall and Birkenshaw,,208
E05001393,Cleckheaton,,209
E05001396,Dalton,,210
E05001397,Denby Dale,,211
E05001398,Dewsbury East,,212
E05001399,Dewsbury South,,213
E05001400,Dewsbury West,,214
E05001401,Golcar,,215
E05001402,Greenhead,,216
E05001403,Heckmondwike,,217
E05001405,Holme Valley South,,218
E05001407,Lindley,,219
E05001408,Liversedge and Gomersal,,220
E05001409,Mirfield,,221
E05001410,Newsome,,222
E05001444,"Ackworth, North Elmsall and Upton",,223
E05001445,Airedale and Ferry Fryston,,224
E05001446,Altofts and Whitwood,,225
E05001447,Castleford Central and Glasshoughton,,226
E05001448,"Crofton, Ryhill and Walton",,227
E05001449,Featherstone,,228
E05001450,Hemsworth,,229
E05001451,Horbury and South Ossett,,230
E05001452,Knottingley,,231
E05001453,Normanton,,232
E05001454,Ossett,,233
E05001455,Pontefract North,,234
E05001456,Pontefract South,,235
E05001457,South Elmsall and South Kirkby,,236
E05001458,Stanley and Outwood East,,237
E05001459,Wakefield East,,238
E05001460,Wakefield North,,239
E05001461,Wakefield Rural,,240
E05001462,Wakefield South,,241
E05001463,Wakefield West,,242
E05001464,Wrenthorpe and Outwood West,,243
E05001687,Beverley Rural,,244
E05001688,Bridlington Central and Old Town,,245
E05001689,Bridlington North,,246
E05001690,Bridlington South,,247
E05001691,Cottingham North,,248
E05001692,Cottingham South,,249
E05001693,Dale,,250
E05001264,Cradley Heath and Old Hill,,251
E05001265,Friar Park,,252
E05001266,Great Barr with Yew Tree,,253
E05001267,Great Bridge,,254
E05001268,Greets Green and Lyng,,255
E05001269,Hateley Heath,,256
E05001270,Langley,,257
E05001271,Newton,,258
E05001272,Old Warley,,259
E05001273,Oldbury,,260
E05001274,Princes End,,261
E05001275,Rowley,,262
E05001276,St Pauls,,263
E05001277,Smethwick,,264
E05001278,Soho and Victoria,,265
E05001279,Tipton Green,,266
E05001280,Tividale,,267
E05001281,Wednesbury North,,268
E05001282,Wednesbury South,,269
E05001283,West Bromwich Central,,270
E05001284,Bickenhill,,271
E05001285,Blythe,,272
E05001286,Castle Bromwich,,273
E05001287,Chelmsley Wood,,274
E05001288,Dorridge and Hockley Heath,,275
E05001289,Elmdon,,276
E05001290,Kingshurst and Fordbridge,,277
E05001291,Knowle,,278
E05001292,Lyndon,,279
E05001293,Meriden,,280
E05001294,Olton,,281
E05001295,St Alphege,,282
E05001296,Shirley East,,283
E05001297,Shirley South,,284
E05001298,Shirley West,,285
E05001299,Silhill,,286
E05001300,Smith's Wood,,287
E05001301,Aldridge Central and South,,288
E05001302,Aldridge North and Walsall Wood,,289
E05001303,Bentley and Darlaston North,,290
E05001304,Birchills Leamore,,291
E05001305,Blakenall,,292
E05001306,Bloxwich East,,293
E05001307,Bloxwich West,,294
E05001308,Brownhills,,295
E05001309,Darlaston South,,296
E05001310,Paddock,,297
E05001311,Palfrey,,298
E05001312,Pelsall,,299
E05001313,Pheasey Park Farm,,300
E05002096,Stoke,,301
E05002097,Sutton and Mount Gould,,302
E05002212,Belfairs,,303
E05002213,Blenheim Park,,304
E05002214,Chalkwell,,305
E05002215,Eastwood Park,,306
E05002216,Kursaal,,307
E05002217,Leigh,,308
E05002218,Milton,,309
E05002219,Prittlewell,,310
E05002220,St Laurence,,311
E05002221,St. Luke's,,312
E05002222,Shoeburyness,,313
E05002223,Southchurch,,314
E05002224,Thorpe,,315
E05002225,Victoria,,316
E05002226,Westborough,,317
E05002227,West Leigh,,318
E05002228,West Shoebury,,319
E05002229,Aveley and Uplands,,320
E05002230,Belhus,,321
E05002231,Chadwell St Mary,,322
E05002232,Chafford and North Stifford,,323
E05002233,Corringham and Fobbing,,324
E05002234,East Tilbury,,325
E05002235,Grays Riverside,,326
E05002236,Grays Thurrock,,327
E05002237,Little Thurrock Blackshots,,328
E05002238,Little Thurrock Rectory,,329
E05002239,Ockendon,,330
E05002240,Orsett,,331
E05002241,South Chafford,,332
E05002242,Stanford East and Corringham Town,,333
E05002243,Stanford-le-Hope West,,334
E05002244,Stifford Clays,,335
E05002245,The Homesteads,,336
E05002246,Tilbury Riverside and Thurrock Park,,337
E05002247,Tilbury St Chads,,338
E05002248,West Thurrock and South Stifford,,339
E05002441,Baffins,,340
E05002442,Central Southsea,,341
E05002443,Charles Dickens,,342
E05002444,Copnor,,343
E05002445,Cosham,,344
E05002446,Drayton and Farlington,,345
E05002447,Eastney and Craneswater,,346
E05002448,Fratton,,347
E05002449,Hilsea,,348
E05002450,Milton,,349
E05002451,Nelson,,350
E05001150,West Park,,351
E05001151,Whitburn and Marsden,,352
E05001152,Whiteleas,,353
E05001153,Barnes,,354
E05001154,Castle,,355
E05001155,Copt Hill,,356
E05001156,Doxford,,357
E05001157,Fulwell,,358
E05001158,Hendon,,359
E05001159,Hetton,,360
E05001160,Houghton,,361
E05001161,Millfield,,362
E05001162,Pallion,,363
E05001163,Redhill,,364
E05001164,Ryhope,,365
E05001165,St Anne's,,366
E05001166,St Chad's,,367
E05001167,St Michael's,,368
E05001168,St Peter's,,369
E05001169,Sandhill,,370
E05001170,Shiney Row,,371
E05001171,Silksworth,,372
E05001172,Southwick,,373
E05001173,Washington Central,,374
E05001174,Washington East,,375
E05001175,Washington North,,376
E05001176,Washington South,,377
E05001177,Washington West,,378
E05001218,Bablake,,379
E05001219,Binley and Willenhall,,380
E05001220,Cheylesmore,,381
E05001221,Earlsdon,,382
E05001222,Foleshill,,383
E05001223,Henley,,384
E05001224,Holbrook,,385
E05001225,Longford,,386
E05001226,Lower Stoke,,387
E05001227,Radford,,388
E05001228,St Michael's,,389
E05001229,Sherbourne,,390
E05001230,Upper Stoke,,391
E05001231,Wainbody,,392
E05001232,Westwood,,393
E05001233,Whoberley,,394
E05001234,Woodlands,,395
E05001235,Wyken,,396
E05001260,Abbey,,397
E05001261,Blackheath,,398
E05001262,Bristnall,,399
E05001263,Charlemont with Grove Vale,,400
E05002452,Paulsgrove,,401
E05002453,St Jude,,402
E05002454,St Thomas,,403
E05004096,Bicknacre and East and West Hanningfield,,404
E05004097,Boreham and The Leighs,,405
E05004098,Broomfield and The Walthams,,406
E05004099,Chelmer Village and Beaulieu Park,,407
E05004100,Chelmsford Rural West,,408
E05004101,Galleywood,,409
E05004105,"Little Baddow, Danbury and Sandon",,410
E05004106,Marconi,,411
E05004108,Moulsham Lodge,,412
E05004109,Patching Hall,,413
E05004110,Rettendon and Runwell,,414
E05004111,St Andrews,,415
E05004112,"South Hanningfield, Stock and Margaretting",,416
E05004113,South Woodham-Chetwood and Collingwood,,417
E05004114,South Woodham-Elmwood and Woodville,,418
E05004115,Springfield North,,419
E05004116,The Lawns,,420
E05004117,Trinity,,421
E05004118,Waterhouse Farm,,422
E05004119,Writtle,,423
E05004190,Althorne,,424
E05004191,Burnham-on-Crouch North,,425
E05004192,Burnham-on-Crouch South,,426
E05004193,Great Totham,,427
E05004194,Heybridge East,,428
E05004195,Heybridge West,,429
E05004196,Maldon East,,430
E05004197,Maldon North,,431
E05004198,Maldon South,,432
E05004199,Maldon West,,433
E05004200,Mayland,,434
E05004201,Purleigh,,435
E05004202,Southminster,,436
E05004203,Tillingham,,437
E05004204,Tollesbury,,438
E05004205,Tolleshunt D'Arcy,,439
E05004206,Wickham Bishops and Woodham,,440
E05004691,Adeyfield East,,441
E05004692,Adeyfield West,,442
E05004693,Aldbury and Wigginton,,443
E05004694,Apsley and Corner Hall,,444
E05004695,Ashridge,,445
E05004696,Bennetts End,,446
E05004697,Berkhamsted Castle,,447
E05004698,Berkhamsted East,,448
E05004699,Berkhamsted West,,449
E05004700,"Bovingdon, Flaunden and Chipperfield",,450
E05005101,Viking,,451
E05005102,Westbrook,,452
E05005103,Westgate-on-Sea,,453
E05005150,Bank Hall,,454
E05005151,Briercliffe,,455
E05005152,Brunshaw,,456
E05005153,Cliviger with Worsthorne,,457
E05005154,Coal Clough with Deerplay,,458
E05005155,Daneshouse with Stoneyholme,,459
E05005156,Gannow,,460
E05005157,Gawthorpe,,461
E05005158,Hapton with Park,,462
E05005159,Lanehead,,463
E05005160,Queensgate,,464
E05005161,Rosegrove with Lowerhouse,,465
E05005162,Rosehill with Burnley Wood,,466
E05005163,Trinity,,467
E05005164,Whittlefield with Ightenhill,,468
E05005206,Altham,,469
E05005207,Barnfield,,470
E05005208,Baxenden,,471
E05005209,Central,,472
E05005210,Church,,473
E05005211,Clayton-le-Moors,,474
E05005212,Huncoat,,475
E05005213,Immanuel,,476
E05005214,Milnshaw,,477
E05005215,Netherton,,478
E05005216,Overton,,479
E05005217,Peel,,480
E05005218,Rishton,,481
E05005219,St Andrew's,,482
E05005220,St Oswald's,,483
E05005221,Spring Hill,,484
E05005479,Ambien,,485
E05005480,"Barlestone, Nailstone and Osbaston",,486
E05005481,Barwell,,487
E05005482,Burbage St Catherines and Lash Hill,,488
E05005483,Burbage Sketchley and Stretton,,489
E05005484,"Cadeby, Carlton and Market Bosworth with Shackerstone",,490
E05005485,Earl Shilton,,491
E05005486,Groby,,492
E05005487,Hinckley Castle,,493
E05005488,Hinckley Clarendon,,494
E05005489,Hinckley De Montfort,,495
E05005490,Hinckley Trinity,,496
E05005491,"Markfield, Stanton and Fieldhead",,497
E05005492,Newbold Verdon with Desford and Peckleton,,498
E05005493,"Ratby, Bagworth and Thornton",,499
E05005494,Twycross and Witherley with Sheepy,,500
E05005764,Drayton North,,501
E05005765,Drayton South,,502
E05005766,Eynesford,,503
E05005767,Great Witchingham,,504
E05005768,Hellesdon North West,,505
E05005769,Hellesdon South East,,506
E05005770,Hevingham,,507
E05005771,Horsford and Felthorpe,,508
E05005772,Marshes,,509
E05005773,Old Catton and Sprowston West,,510
E05005774,Plumstead,,511
E05005775,Reepham,,512
E05005777,Sprowston Central,,513
E05005778,Sprowston East,,514
E05005779,Taverham North,,515
E05005780,Taverham South,,516
E05005781,Thorpe St Andrew North West,,517
E05005782,Thorpe St Andrew South East,,518
E05005783,Wroxham,,519
E05005784,Bradwell North,,520
E05005785,Bradwell South and Hopton,,521
E05005786,Caister North,,522
E05005787,Caister South,,523
E05005788,Central and Northgate,,524
E05005789,Claydon,,525
E05005790,East Flegg,,526
E05005791,Fleggburgh,,527
E05005792,Gorleston,,528
E05005793,Lothingland,,529
E05005794,Magdalen,,530
E05005795,Nelson,,531
E05005796,Ormesby,,532
E05005797,St Andrews,,533
E05005798,Southtown and Cobholm,,534
E05005799,West Flegg,,535
E05005800,Yarmouth North,,536
E05006377,Beckingham,,537
E05006378,Blyth,,538
E05006380,Clayworth,,539
E05006381,East Markham,,540
E05006382,East Retford East,,541
E05006383,East Retford North,,542
E05006384,East Retford South,,543
E05006385,East Retford West,,544
E05006386,Everton,,545
E05006387,Harworth,,546
E05006388,Langold,,547
E05006389,Misterton,,548
E05006390,Rampton,,549
E05006391,Ranskill,,550
E05004701,Boxmoor,,551
E05004702,Chaulden and Warners End,,552
E05004703,Gadebridge,,553
E05004704,Grovehill,,554
E05004705,Hemel Hempstead Town,,555
E05004706,Highfield,,556
E05004707,Kings Langley,,557
E05004708,Leverstock Green,,558
E05004709,Nash Mills,,559
E05004710,Northchurch,,560
E05004711,Tring Central,,561
E05004712,Tring East,,562
E05004713,Tring West and Rural,,563
E05004714,Watling,,564
E05004715,Woodhall Farm,,565
E05005010,Cowden and Hever,,566
E05005011,Crockenhill and Well Hill,,567
E05005012,Dunton Green and Riverhead,,568
E05005013,Edenbridge North and East,,569
E05005014,Edenbridge South and West,,570
E05005016,"Farningham, Horton Kirby and South Darenth",,571
E05005017,Fawkham and West Kingsdown,,572
E05005018,"Halstead, Knockholt and Badgers Mount",,573
E05005021,Kemsing,,574
E05005026,Sevenoaks Eastern,,575
E05005027,Sevenoaks Kippington,,576
E05005028,Sevenoaks Northern,,577
E05005029,Sevenoaks Town and St John's,,578
E05005031,Swanley St Mary's,,579
E05005032,Swanley White Oak,,580
E05005081,Beacon Road,,581
E05005082,Birchington North,,582
E05005083,Birchington South,,583
E05005084,Bradstowe,,584
E05005085,Central Harbour,,585
E05005086,Cliffsend and Pegwell,,586
E05005087,Cliftonville East,,587
E05005088,Cliftonville West,,588
E05005089,Dane Valley,,589
E05005090,Eastcliff,,590
E05005091,Garlinge,,591
E05005092,Kingsgate,,592
E05005093,Margate Central,,593
E05005094,Nethercourt,,594
E05005095,Newington,,595
E05005096,Northwood,,596
E05005097,St Peters,,597
E05005098,Salmestone,,598
E05005099,Sir Moses Montefiore,,599
E05005100,Thanet Villages,,600
E05005495,Asfordby,,601
E05005496,Bottesford,,602
E05005497,Croxton Kerrial,,603
E05005498,Frisby-on-the-Wreake,,604
E05005499,Gaddesby,,605
E05005500,Long Clawson and Stathern,,606
E05005501,Melton Craven,,607
E05005502,Melton Dorian,,608
E05005503,Melton Egerton,,609
E05005504,Melton Newport,,610
E05005505,Melton Sysonby,,611
E05005506,Melton Warwick,,612
E05005507,Old Dalby,,613
E05005508,Somerby,,614
E05005509,Waltham-on-the-Wolds,,615
E05005510,Wymondham,,616
E05005531,Oadby Brocks Hill,,617
E05005532,Oadby Grange,,618
E05005533,Oadby St Peter's,,619
E05005534,Oadby Uplands,,620
E05005535,Oadby Woodlands,,621
E05005536,South Wigston,,622
E05005537,Wigston All Saints,,623
E05005538,Wigston Fields,,624
E05005539,Wigston Meadowcourt,,625
E05005540,Wigston St Wolstan's,,626
E05005644,Crowland and Deeping St Nicholas,,627
E05005645,"Donington, Quadring and Gosberton",,628
E05005646,Fleet,,629
E05005647,Gedney,,630
E05005648,Holbeach Hurn,,631
E05005649,Holbeach Town,,632
E05005650,Long Sutton,,633
E05005651,"Moulton, Weston and Cowbit",,634
E05005652,Pinchbeck and Surfleet,,635
E05005653,Spalding Castle,,636
E05005654,Spalding Monks House,,637
E05005655,Spalding St John's,,638
E05005656,Spalding St Mary's,,639
E05005657,Spalding St Paul's,,640
E05005658,Spalding Wygate,,641
E05005659,Sutton Bridge,,642
E05005660,The Saints,,643
E05005661,Whaplode and Holbeach St John's,,644
E05005757,Acle,,645
E05005758,Aylsham,,646
E05005759,Blofield with South Walsham,,647
E05005760,Brundall,,648
E05005761,Burlingham,,649
E05005762,Buxton,,650
E05006392,Sturton,,651
E05006393,Sutton,,652
E05006394,Tuxford and Trent,,653
E05006395,Welbeck,,654
E05006396,Worksop East,,655
E05006397,Worksop North,,656
E05006399,Worksop North West,,657
E05006400,Worksop South,,658
E05006401,Worksop South East,,659
E05006627,Alvescot and Filkins,,660
E05006628,Ascott and Shipton,,661
E05006629,Bampton and Clanfield,,662
E05006632,Carterton North East,,663
E05006634,Carterton South,,664
E05006637,Chipping Norton,,665
E05006638,Ducklington,,666
E05006639,Eynsham and Cassington,,667
E05006640,Freeland and Hanborough,,668
E05006642,"Kingham, Rollright and Enstone",,669
E05006643,Milton-under-Wychwood,,670
E05006644,North Leigh,,671
E05006645,"Standlake, Aston and Stanton Harcourt",,672
E05006646,Stonesfield and Tackley,,673
E05006647,The Bartons,,674
E05006648,Witney Central,,675
E05006649,Witney East,,676
E05006650,Witney North,,677
E05006651,Witney South,,678
E05006652,Witney West,,679
E05006653,Woodstock and Bladon,,680
E05007039,Alton,,681
E05007040,Bagnall and Stanley,,682
E05007041,Biddulph East,,683
E05007042,Biddulph Moor,,684
E05007043,Biddulph North,,685
E05007044,Biddulph South,,686
E05007045,Biddulph West,,687
E05007046,Brown Edge and Endon,,688
E05007047,Caverswall,,689
E05007048,Cellarhead,,690
E05007049,Cheadle North East,,691
E05007050,Cheadle South East,,692
E05007051,Cheadle West,,693
E05007052,Checkley,,694
E05007053,Cheddleton,,695
E05007054,Churnet,,696
E05007055,Dane,,697
E05007056,Forsbrook,,698
E05007057,Hamps Valley,,699
E05007058,Horton,,700
E05007461,Baddesley and Grendon,,701
E05007462,Coleshill North,,702
E05007463,Coleshill South,,703
E05007464,Curdworth,,704
E05007465,Dordon,,705
E05007466,Fillongley,,706
E05007467,Hartshill,,707
E05007468,Hurley and Wood End,,708
E05007469,Kingsbury,,709
E05007470,Newton Regis and Warton,,710
E05007471,Polesworth East,,711
E05007472,Polesworth West,,712
E05007473,Water Orton,,713
E05007562,Buckingham,,714
E05007563,Churchill,,715
E05007564,Cokeham,,716
E05007565,Eastbrook,,717
E05007566,Hillside,,718
E05007567,Manor,,719
E05007568,Marine,,720
E05007569,Mash Barn,,721
E05007570,Peverel,,722
E05007571,St Mary's,,723
E05007572,St Nicolas,,724
E05007573,Southlands,,725
E05007574,Southwick Green,,726
E05007575,Widewater,,727
E05007694,Broadwater,,728
E05007695,Castle,,729
E05007696,Central,,730
E05007697,Durrington,,731
E05007698,Gaisford,,732
E05007699,Goring,,733
E05007700,Heene,,734
E05007701,Marine,,735
E05007702,Northbrook,,736
E05007703,Offington,,737
E05007704,Salvington,,738
E05007705,Selden,,739
E05007706,Tarring,,740
E05008558,Almondbury,,741
E05008559,Colne Valley,,742
E05008560,Crosland Moor and Netherton,,743
E05008561,Holme Valley North,,744
E05008562,Kirkburton,,745
E05008610,Alderley Edge,,746
E05008611,Alsager,,747
E05008612,Audlem,,748
E05008613,Bollington,,749
E05008614,Brereton Rural,,750
E05007059,Ipstones,,751
E05007060,Leek East,,752
E05007061,Leek North,,753
E05007062,Leek South,,754
E05007063,Leek West,,755
E05007064,Manifold,,756
E05007065,Werrington,,757
E05007066,Amington,,758
E05007067,Belgrave,,759
E05007068,Bolehall,,760
E05007069,Castle,,761
E05007070,Glascote,,762
E05007071,Mercian,,763
E05007072,Spital,,764
E05007073,Stonydelph,,765
E05007074,Trinity,,766
E05007075,Wilnecote,,767
E05007117,Alexandra,,768
E05007118,Bixley,,769
E05007119,Bridge,,770
E05007120,Castle Hill,,771
E05007121,Gainsborough,,772
E05007122,Gipping,,773
E05007123,Holywells,,774
E05007124,Priory Heath,,775
E05007125,Rushmere,,776
E05007126,St John's,,777
E05007127,St Margaret's,,778
E05007128,Sprites,,779
E05007129,Stoke Park,,780
E05007130,Westgate,,781
E05007131,Whitehouse,,782
E05007132,Whitton,,783
E05007362,Ashford Common,,784
E05007363,Ashford East,,785
E05007364,Ashford North and Stanwell South,,786
E05007365,Ashford Town,,787
E05007366,Halliford and Sunbury West,,788
E05007367,Laleham and Shepperton Green,,789
E05007368,Riverside and Laleham,,790
E05007369,Shepperton Town,,791
E05007370,Staines,,792
E05007371,Staines South,,793
E05007372,Stanwell North,,794
E05007373,Sunbury Common,,795
E05007374,Sunbury East,,796
E05007457,Arley and Whitacre,,797
E05007458,Atherstone Central,,798
E05007459,Atherstone North,,799
E05007460,Atherstone South and Mancetter,,800
E05008997,Rowhill,,801
E05008998,St John's,,802
E05008999,St Mark's,,803
E05009000,Wellington,,804
E05009001,West Heath,,805
E05009002,Broxbourne and Hoddesdon South,,806
E05009003,Cheshunt North,,807
E05009004,Cheshunt South and Theobalds,,808
E05009005,Flamstead End,,809
E05009006,Goffs Oak,,810
E05009007,Hoddesdon North,,811
E05009008,Hoddesdon Town and Rye Park,,812
E05009009,Rosedale and Bury Green,,813
E05009010,Waltham Cross,,814
E05009011,Wormley and Turnford,,815
E05009288,Aldersgate,,816
E05009289,Aldgate,,817
E05009290,Bassishaw,,818
E05009291,Billingsgate,,819
E05009292,Bishopsgate,,820
E05009293,Bread Street,,821
E05009294,Bridge,,822
E05009295,Broad Street,,823
E05009296,Candlewick,,824
E05009297,Castle Baynard,,825
E05009298,Cheap,,826
E05009299,Coleman Street,,827
E05009300,Cordwainer,,828
E05009301,Cornhill,,829
E05009302,Cripplegate,,830
E05009303,Dowgate,,831
E05009304,Farringdon Within,,832
E05009305,Farringdon Without,,833
E05009306,Langbourn,,834
E05009307,Lime Street,,835
E05009308,Portsoken,,836
E05009309,Queenhithe,,837
E05009310,Tower,,838
E05009311,Vintry,,839
E05009312,Walbrook,,840
E05009313,Chopwell and Rowlands Gill,,841
E05009317,Bethnal Green East,,842
E05009318,Blackwall & Cubitt Town,,843
E05009319,Bow East,,844
E05009320,Bow West,,845
E05009321,Bromley North,,846
E05009322,Bromley South,,847
E05009323,Canary Wharf,,848
E05009324,Island Gardens,,849
E05009325,Lansbury,,850
E05008615,Broken Cross and Upton,,851
E05008616,Bunbury,,852
E05008617,Chelford,,853
E05008618,Congleton East,,854
E05008619,Congleton West,,855
E05008620,Crewe Central,,856
E05008621,Crewe East,,857
E05008622,Crewe North,,858
E05008623,Crewe St Barnabas,,859
E05008624,Crewe South,,860
E05008625,Crewe West,,861
E05008626,Dane Valley,,862
E05008627,Disley,,863
E05008628,Gawsworth,,864
E05008629,Handforth,,865
E05008630,Haslington,,866
E05008631,High Legh,,867
E05008632,Knutsford,,868
E05008633,Leighton,,869
E05008634,Macclesfield Central,,870
E05008635,Macclesfield East,,871
E05008636,Macclesfield Hurdsfield,,872
E05008637,Macclesfield South,,873
E05008638,Macclesfield Tytherington,,874
E05008639,Macclesfield West and Ivy,,875
E05008640,Middlewich,,876
E05008641,Mobberley,,877
E05008642,Nantwich North and West,,878
E05008643,Nantwich South and Stapeley,,879
E05008644,Odd Rode,,880
E05008645,Poynton East and Pott Shrigley,,881
E05008646,Poynton West and Adlington,,882
E05008647,Prestbury,,883
E05008648,Sandbach Elworth,,884
E05008649,Sandbach Ettiley Heath and Wheelock,,885
E05008650,Sandbach Heath and East,,886
E05008651,Sandbach Town,,887
E05008652,Shavington,,888
E05008653,Sutton,,889
E05008654,Willaston and Rope,,890
E05008655,Wilmslow Dean Row,,891
E05008656,Wilmslow East,,892
E05008657,Wilmslow Lacey Green,,893
